"cyr","country_text_id","year","seq"
"ukr19055","UKR",1905.5,19055
"ury19055","URY",1905.5,19055
"usa19055","USA",1905.5,19055
"uzb19055","UZB",1905.5,19055
"vdr19055","VDR",1905.5,19055
"ven19055","VEN",1905.5,19055
"vnm19055","VNM",1905.5,19055
"vut19055","VUT",1905.5,19055
"xkx19055","XKX",1905.5,19055
"yem19055","YEM",1905.5,19055
"ymd19055","YMD",1905.5,19055
"zaf19055","ZAF",1905.5,19055
"zmb19055","ZMB",1905.5,19055
"zwe19055","ZWE",1905.5,19055
"zzb19055","ZZB",1905.5,19055
"afg19075","AFG",1907.5,19075
"ago19075","AGO",1907.5,19075
"alb19075","ALB",1907.5,19075
"are19075","ARE",1907.5,19075
"arg19075","ARG",1907.5,19075
"arm19075","ARM",1907.5,19075
"aus19075","AUS",1907.5,19075
"aut19075","AUT",1907.5,19075
"aze19075","AZE",1907.5,19075
"bdi19075","BDI",1907.5,19075
"bel19075","BEL",1907.5,19075
"ben19075","BEN",1907.5,19075
"bfa19075","BFA",1907.5,19075
"bgd19075","BGD",1907.5,19075
"bgr19075","BGR",1907.5,19075
"bhr19075","BHR",1907.5,19075
"bih19075","BIH",1907.5,19075
"blr19075","BLR",1907.5,19075
"bol19075","BOL",1907.5,19075
"bra19075","BRA",1907.5,19075
"brb19075","BRB",1907.5,19075
"btn19075","BTN",1907.5,19075
"bwa19075","BWA",1907.5,19075
"caf19075","CAF",1907.5,19075
"can19075","CAN",1907.5,19075
"che19075","CHE",1907.5,19075
"chl19075","CHL",1907.5,19075
"chn19075","CHN",1907.5,19075
"civ19075","CIV",1907.5,19075
"cmr19075","CMR",1907.5,19075
"cod19075","COD",1907.5,19075
"cog19075","COG",1907.5,19075
"col19075","COL",1907.5,19075
"com19075","COM",1907.5,19075
"cpv19075","CPV",1907.5,19075
"cri19075","CRI",1907.5,19075
"cub19075","CUB",1907.5,19075
"cyp19075","CYP",1907.5,19075
"cze19075","CZE",1907.5,19075
"ddr19075","DDR",1907.5,19075
"deu19075","DEU",1907.5,19075
"dji19075","DJI",1907.5,19075
"dnk19075","DNK",1907.5,19075
"dom19075","DOM",1907.5,19075
"dza19075","DZA",1907.5,19075
"ecu19075","ECU",1907.5,19075
"egy19075","EGY",1907.5,19075
"eri19075","ERI",1907.5,19075
"esp19075","ESP",1907.5,19075
"est19075","EST",1907.5,19075
"eth19075","ETH",1907.5,19075
"fin19075","FIN",1907.5,19075
"fji19075","FJI",1907.5,19075
"fra19075","FRA",1907.5,19075
"gab19075","GAB",1907.5,19075
"gbr19075","GBR",1907.5,19075
"geo19075","GEO",1907.5,19075
"gha19075","GHA",1907.5,19075
"gin19075","GIN",1907.5,19075
"gmb19075","GMB",1907.5,19075
"gnb19075","GNB",1907.5,19075
